Primary Strata Name,Age group,Secondary Strata Name,Count,Percent
0-4 yr,1,White,224,23.2
0-4 yr,1,Black,262,27.2
0-4 yr,1,Hispanic/Latino,335,34.8
0-4 yr,1,Asian/Pacific Islander,65,6.7
0-4 yr,1,American Indian/Alaska Native,10,1
0-4 yr,1,Other,68,7.1
0-4 yr,1,Total,964,100
5-17 yr,2,White,378,23.91
5-17 yr,2,Black,484,30.61
5-17 yr,2,Hispanic/Latino,568,35.93
5-17 yr,2,Asian/Pacific Islander,65,4.11
5-17 yr,2,American Indian/Alaska Native,15,0.95
5-17 yr,2,Other,71,4.49
5-17 yr,2,Total,1581,100
18-49 yr,3,White,10066,24.5
18-49 yr,3,Black,12349,30
18-49 yr,3,Hispanic/Latino,13174,32
18-49 yr,3,Asian/Pacific Islander,2138,5.2
18-49 yr,3,American Indian/Alaska Native,793,1.9
18-49 yr,3,Other,2640,6.4
18-49 yr,3,Total,41160,100
50-64 yr,4,White,16445,37
50-64 yr,4,Black,14049,31.6
50-64 yr,4,Hispanic/Latino,8554,19.2
50-64 yr,4,Asian/Pacific Islander,2248,5.1
50-64 yr,4,American Indian/Alaska Native,665,1.5
50-64 yr,4,Other,2479,5.6
50-64 yr,4,Total,44440,100
65+ yr,5,White,41705,56.37
65+ yr,5,Black,16821,22.74
65+ yr,5,Hispanic/Latino,7372,9.96
65+ yr,5,Asian/Pacific Islander,3611,4.88
65+ yr,5,American Indian/Alaska Native,638,0.86
65+ yr,5,Other,3839,5.19
65+ yr,5,Total,73986,100
