Counts of COVID-19-associated Hospitalizations by Age from the COVID-NET Network (data downloaded on 5/14/2021)Centers for Disease Control and Prevention
YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020-21,2020-10,0,0,10,7,17
2020-21,2020-11,0,0,50,79,84
2020-21,2020-12,0,4,253,285,418
2020-21,2020-13,6,5,637,793,1060
2020-21,2020-14,11,11,656,1023,1398
2020-21,2020-15,9,7,635,911,1445
2020-21,2020-16,11,8,733,956,1552
2020-21,2020-17,10,14,771,824,1502
2020-21,2020-18,11,20,773,853,1390
2020-21,2020-19,9,21,739,775,1135
2020-21,2020-20,13,15,708,712,1044
2020-21,2020-21,17,21,734,668,959
2020-21,2020-22,14,25,633,526,789
2020-21,2020-23,16,18,523,427,590
2020-21,2020-24,14,14,464,345,466
2020-21,2020-25,15,10,472,366,431
2020-21,2020-26,13,22,572,416,443
2020-21,2020-27,10,20,729,521,655
2020-21,2020-28,20,29,884,706,858
2020-21,2020-29,15,30,912,750,914
2020-21,2020-30,23,22,785,726,913
2020-21,2020-31,16,20,731,644,834
2020-21,2020-32,12,21,690,560,768
2020-21,2020-33,12,23,604,527,670
2020-21,2020-34,12,24,514,485,649
2020-21,2020-35,11,29,489,352,539
2020-21,2020-36,19,20,398,346,510
2020-21,2020-37,7,17,391,343,483
2020-21,2020-38,9,23,374,316,506
2020-21,2020-39,15,12,402,376,562
2020-21,2020-40,9,19,425,379,584
2020-21,2020-41,9,21,468,478,779
2020-21,2020-42,11,25,567,511,878
2020-21,2020-43,10,25,580,694,1038
2020-21,2020-44,14,31,713,808,1367
2020-21,2020-45,24,51,948,1036,1767
2020-21,2020-46,22,57,1137,1324,2446
2020-21,2020-47,28,35,1206,1469,2936
2020-21,2020-48,25,47,1253,1524,3092
2020-21,2020-49,41,51,1324,1560,3198
2020-21,2020-50,42,41,1403,1608,3277
2020-21,2020-51,33,43,1269,1584,3228
2020-21,2020-52,36,57,1201,1591,3279
2020-21,2020-53,28,48,1291,1597,3347
2020-21,2021-1,37,67,1382,1749,3439
2020-21,2021-2,36,55,1265,1569,2973
2020-21,2021-3,29,51,1116,1373,2592
2020-21,2021-4,24,56,947,1123,2129
2020-21,2021-5,22,46,813,955,1864
2020-21,2021-6,20,41,724,751,1282
2020-21,2021-7,17,44,626,677,1132
2020-21,2021-8,10,34,600,644,974
2020-21,2021-9,12,25,561,597,770
2020-21,2021-10,22,19,579,623,790
2020-21,2021-11,21,35,661,746,775
2020-21,2021-12,19,36,756,873,913
2020-21,2021-13,26,38,936,896,869
2020-21,2021-14,28,38,1143,1068,949
2020-21,2021-15,17,45,1081,1094,960
2020-21,2021-16,30,48,1013,883,872
2020-21,2021-17,23,49,881,749,685
2020-21,2021-18,12,38,573,516,453

"The Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET) hospitalization data are preliminary and subject to change as more data become available. In particular, case counts for recent hospital admissions are subject to lag. As data are received each week, prior case counts are updated accordingly."
"COVID-NET conducts population-based surveillance for laboratory-confirmed COVID-19-associated hospitalizations in children (less than 18 years of age) and adults. COVID-NET covers nearly 100 counties in the 10 Emerging Infections Program (EIP) states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and four Influenza Hospitalization Surveillance Project (IHSP) states (IA, MI, OH, and UT)."
