LOCATION,# of Deaths (ASIAN)
Alaska ,2
Oregon,6
California ,308
Vermont,2
Idaho ,2
Tennessee,6
Washington ,71
Colorado ,28
Kentucky ,4
Alabama ,3
Louisiana,14
Pennsylvania,26
Illinois,99
Wisconsin ,5
Oklahoma,2
New York State,1370
Arkansas,0
North Carolina,4
Indiana,4
District of Columbia,2
Arizona,4
Ohio,3
Georgia,21
Michigan,38
Maryland,40
New Hampshire,0
Texas,5
Kansas,0
Massachusetts,68
Delaware,1
Rhode Island,0
Minnesota,3
Connecticut,20
New Jersey,347
Virginia,0
ALL KNOWN DEATHS,2508
